season,team1,team2,venue,toss_winner,toss_decision,team1_avg_score,team2_avg_score,team1_win_rate,team2_win_rate,h2h_team1_wins,h2h_team2_wins,team1_key_player_fit,team2_key_player_fit,home_advantage,winner
2008,Delhi Daredevils,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,field,170,145,0.52,0.39,4,3,0,0,1,Delhi Daredevils
2008,Royal Challengers Bangalore,Deccan Chargers,"M Chinnaswamy Stadium, Bangalore",Deccan Chargers,bat,182,152,0.44,0.46,6,5,1,1,1,Royal Challengers Bangalore
2008,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers,field,167,142,0.6,0.39,3,2,1,1,1,Mumbai Indians
2008,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,183,143,0.67,0.45,4,2,0,1,1,Mumbai Indians
2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,177,166,0.65,0.5,3,5,1,0,1,Mumbai Indians
2008,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,160,156,0.51,0.45,4,2,1,0,1,Royal Challengers Bangalore
2008,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,166,159,0.65,0.53,5,2,1,0,1,Chennai Super Kings
2008,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,176,156,0.67,0.57,3,3,1,1,1,Mumbai Indians
2008,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,160,163,0.62,0.46,6,3,1,1,1,Chennai Super Kings
2008,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,160,175,0.6,0.54,6,2,0,1,1,Chennai Super Kings
2008,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,field,180,151,0.64,0.47,6,1,1,1,1,Chennai Super Kings
2008,Kings XI Punjab,Rajasthan Royals,"IS Bindra Stadium, Mohali",Rajasthan Royals,bat,157,161,0.49,0.48,1,6,0,1,1,Rajasthan Royals
2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,179,178,0.63,0.46,4,5,1,1,1,Mumbai Indians
2008,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",Delhi Daredevils,bat,174,151,0.51,0.48,5,2,1,0,1,Kolkata Knight Riders
2008,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat,159,152,0.47,0.46,3,1,1,0,1,Kolkata Knight Riders
2008,Kings XI Punjab,Rajasthan Royals,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,166,160,0.43,0.52,1,7,0,0,1,Kings XI Punjab
2008,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,152,176,0.43,0.66,5,6,1,0,1,Kings XI Punjab
2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi Stadium, Hyderabad",Rajasthan Royals,field,161,171,0.49,0.49,5,4,0,1,1,Rajasthan Royals
2008,Delhi Daredevils,Kings XI Punjab,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,field,173,175,0.46,0.49,3,4,0,1,1,Kings XI Punjab
2008,Delhi Daredevils,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,153,164,0.42,0.51,2,4,0,0,1,Royal Challengers Bangalore
2008,Kings XI Punjab,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",Royal Challengers Bangalore,field,152,166,0.52,0.46,2,5,0,1,1,Royal Challengers Bangalore
2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,179,177,0.65,0.49,5,5,0,1,1,Mumbai Indians
2008,Delhi Daredevils,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bat,161,163,0.48,0.58,2,6,0,1,1,Kolkata Knight Riders
2008,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,186,166,0.57,0.53,1,3,1,1,1,Mumbai Indians
2008,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Royal Challengers Bangalore,field,150,184,0.5,0.47,5,7,0,1,1,Royal Challengers Bangalore
2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,190,180,0.56,0.41,6,5,0,0,1,Mumbai Indians
2008,Mumbai Indians,Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,170,164,0.64,0.47,6,1,0,1,1,Mumbai Indians
2008,Delhi Daredevils,Kings XI Punjab,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bat,168,170,0.52,0.5,3,5,0,1,1,Kings XI Punjab
2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,188,166,0.56,0.51,7,5,0,0,1,Mumbai Indians
2008,Delhi Daredevils,Kings XI Punjab,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,bat,160,168,0.45,0.45,3,6,1,0,1,Delhi Daredevils
2008,Kings XI Punjab,Deccan Chargers,"IS Bindra Stadium, Mohali",Deccan Chargers,bat,164,153,0.49,0.49,5,4,0,1,1,Deccan Chargers
2008,Delhi Daredevils,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,field,162,165,0.47,0.42,5,3,0,0,1,Delhi Daredevils
2008,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi Stadium, Hyderabad",Chennai Super Kings,field,152,159,0.44,0.59,3,6,1,0,1,Chennai Super Kings
2009,Delhi Daredevils,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field,166,160,0.46,0.44,2,5,0,1,1,Delhi Daredevils
2009,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,167,148,0.48,0.46,4,1,0,1,1,Kolkata Knight Riders
2009,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,field,171,170,0.48,0.57,1,5,1,1,1,Kolkata Knight Riders
2009,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,156,189,0.55,0.66,3,2,0,0,1,Mumbai Indians
2009,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Royal Challengers Bangalore,bat,148,169,0.4,0.44,5,8,0,0,1,Royal Challengers Bangalore
2009,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers,bat,186,166,0.62,0.49,5,2,1,1,1,Mumbai Indians
2009,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,bat,150,175,0.39,0.42,5,9,1,0,1,Royal Challengers Bangalore
2009,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,field,168,166,0.57,0.65,2,6,0,1,1,Mumbai Indians
2009,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Royal Challengers Bangalore,field,160,179,0.38,0.54,5,10,0,0,1,Royal Challengers Bangalore
2009,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,160,165,0.55,0.43,6,3,1,1,1,Kolkata Knight Riders
2009,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,bat,151,182,0.41,0.53,5,11,0,0,1,Royal Challengers Bangalore
2009,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,173,146,0.6,0.49,2,2,0,0,1,Kolkata Knight Riders
2009,Delhi Daredevils,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,field,152,156,0.49,0.47,6,3,1,1,1,Delhi Daredevils
2009,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,182,159,0.62,0.39,2,5,0,1,1,Chennai Super Kings
2009,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians,field,182,171,0.61,0.44,6,1,1,1,1,Mumbai Indians
2009,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Royal Challengers Bangalore,field,152,181,0.38,0.43,5,12,1,1,1,Royal Challengers Bangalore
2009,Kings XI Punjab,Deccan Chargers,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,153,152,0.44,0.39,5,5,1,0,1,Kings XI Punjab
2009,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,bat,158,164,0.46,0.54,2,3,1,0,1,Kolkata Knight Riders
2009,Delhi Daredevils,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,field,163,164,0.46,0.37,7,3,0,0,1,Delhi Daredevils
2009,Mumbai Indians,Delhi Daredevils,"Wankhede Stadium, Mumbai",Delhi Daredevils,bat,173,152,0.61,0.41,7,1,0,1,1,Mumbai Indians
2009,Delhi Daredevils,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,field,164,157,0.42,0.45,8,3,1,0,1,Delhi Daredevils
2009,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,184,164,0.46,0.51,6,2,1,0,1,Royal Challengers Bangalore
2009,Delhi Daredevils,Kings XI Punjab,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bat,163,168,0.46,0.45,4,6,1,1,1,Kings XI Punjab
2009,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,160,172,0.53,0.47,6,1,1,1,1,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,176,171,0.46,0.48,3,7,1,0,1,Royal Challengers Bangalore
2009,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,field,162,170,0.38,0.66,2,6,1,1,1,Mumbai Indians
2009,Kings XI Punjab,Rajasthan Royals,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,172,165,0.45,0.47,2,7,1,0,1,Kings XI Punjab
2009,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers,bat,182,144,0.6,0.38,7,3,0,1,1,Chennai Super Kings
2009,Delhi Daredevils,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,field,150,175,0.44,0.61,1,8,0,1,1,Mumbai Indians
2009,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,179,171,0.5,0.57,3,7,0,0,1,Royal Challengers Bangalore
2009,Delhi Daredevils,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bat,163,162,0.48,0.49,2,7,1,1,1,Delhi Daredevils
2009,Delhi Daredevils,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,163,157,0.42,0.48,4,1,0,1,1,Delhi Daredevils
2009,Rajasthan Royals,Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Delhi Daredevils,field,148,170,0.49,0.39,1,5,0,1,1,Rajasthan Royals
2009,Delhi Daredevils,Kings XI Punjab,"Arun Jaitley Stadium, Delhi",Delhi Daredevils,field,156,171,0.42,0.44,4,7,0,0,1,Kings XI Punjab
2009,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,184,171,0.65,0.42,8,5,1,1,1,Mumbai Indians
2009,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Kings XI Punjab,bat,168,170,0.47,0.67,6,6,0,1,1,Chennai Super Kings
2009,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi Stadium, Hyderabad",Kings XI Punjab,field,145,165,0.5,0.42,5,6,0,1,1,Deccan Chargers
2009,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,bat,156,183,0.45,0.6,3,4,1,1,1,Mumbai Indians
2009,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,148,185,0.55,0.63,3,5,0,0,1,Mumbai Indians
2009,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi Stadium, Hyderabad",Rajasthan Royals,field,145,152,0.38,0.44,5,5,1,0,1,Rajasthan Royals
2009,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,167,160,0.56,0.49,7,3,1,0,1,Kolkata Knight Riders
2009,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Kings XI Punjab,field,167,152,0.64,0.43,7,6,1,0,1,Chennai Super Kings
2009,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,field,149,178,0.47,0.69,3,6,1,0,1,Mumbai Indians
2009,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,163,155,0.61,0.54,7,1,0,0,1,Kolkata Knight Riders
2009,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,163,173,0.49,0.52,8,3,0,1,1,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bangalore",Chennai Super Kings,bat,163,180,0.53,0.56,4,7,1,0,1,Chennai Super Kings
2009,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,149,170,0.53,0.62,3,7,0,1,1,Mumbai Indians
2009,Rajasthan Royals,Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,164,156,0.56,0.4,2,5,1,1,1,Rajasthan Royals
2009,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers,field,179,163,0.57,0.47,7,2,1,0,1,Mumbai Indians
2009,Rajasthan Royals,Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,152,157,0.52,0.47,3,5,1,1,1,Rajasthan Royals
2009,Delhi Daredevils,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bat,171,156,0.51,0.56,3,9,0,1,1,Kolkata Knight Riders
2009,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,field,165,155,0.57,0.41,4,2,1,1,1,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bangalore",Rajasthan Royals,bat,162,150,0.42,0.44,3,2,0,1,1,Royal Challengers Bangalore
2009,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,182,154,0.68,0.55,7,2,1,0,1,Chennai Super Kings
2009,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings,bat,156,170,0.59,0.59,2,8,1,0,1,Chennai Super Kings
2009,Kings XI Punjab,Deccan Chargers,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,151,147,0.44,0.48,6,6,1,1,1,Deccan Chargers
2009,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,162,155,0.51,0.54,7,2,0,0,1,Royal Challengers Bangalore
2010,Kings XI Punjab,Kolkata Knight Riders,"IS Bindra Stadium, Mohali",Kolkata Knight Riders,bat,162,162,0.5,0.58,5,5,0,0,1,Kolkata Knight Riders
2010,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,168,165,0.5,0.47,8,2,1,1,1,Royal Challengers Bangalore
2010,Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,166,154,0.51,0.49,6,5,1,1,1,Kolkata Knight Riders
2010,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,159,151,0.6,0.48,5,2,1,1,1,Kolkata Knight Riders
2010,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,field,164,170,0.59,0.65,6,3,1,0,1,Mumbai Indians
2010,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,168,163,0.63,0.55,3,3,1,1,1,Mumbai Indians
2010,Kings XI Punjab,Mumbai Indians,"IS Bindra Stadium, Mohali",Mumbai Indians,bat,170,180,0.52,0.68,1,7,0,1,1,Mumbai Indians
2010,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers,field,175,144,0.6,0.41,8,3,1,0,1,Chennai Super Kings
2010,Royal Challengers Bangalore,Mumbai Indians,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,184,177,0.46,0.68,5,9,0,0,1,Mumbai Indians
2010,Royal Challengers Bangalore,Deccan Chargers,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,179,146,0.52,0.46,13,5,0,1,1,Royal Challengers Bangalore
2010,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi Stadium, Hyderabad",Rajasthan Royals,field,146,162,0.38,0.49,5,6,1,1,1,Rajasthan Royals
2010,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,field,180,174,0.56,0.46,10,5,1,0,1,Mumbai Indians
2010,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Delhi Daredevils,field,177,166,0.67,0.49,3,5,0,1,1,Chennai Super Kings
2010,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bat,154,174,0.48,0.54,7,4,1,0,1,Royal Challengers Bangalore
2010,Royal Challengers Bangalore,Mumbai Indians,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,174,182,0.48,0.57,5,11,1,1,1,Mumbai Indians
2010,Kings XI Punjab,Deccan Chargers,"IS Bindra Stadium, Mohali",Deccan Chargers,bat,171,162,0.45,0.42,6,7,1,1,1,Kings XI Punjab
2010,Royal Challengers Bangalore,Deccan Chargers,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,171,151,0.55,0.47,14,5,1,0,1,Royal Challengers Bangalore
2010,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,field,163,181,0.64,0.54,8,4,0,1,1,Chennai Super Kings
2010,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,field,153,172,0.48,0.66,3,8,0,0,1,Mumbai Indians
2010,Royal Challengers Bangalore,Mumbai Indians,"M Chinnaswamy Stadium, Bangalore",Mumbai Indians,bat,176,190,0.49,0.65,5,12,0,1,1,Mumbai Indians
2010,Royal Challengers Bangalore,Delhi Daredevils,"M Chinnaswamy Stadium, Bangalore",Delhi Daredevils,bat,165,154,0.53,0.5,5,3,0,1,1,Royal Challengers Bangalore
2010,Kings XI Punjab,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,170,169,0.51,0.52,2,9,0,0,1,Kings XI Punjab
2010,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,field,163,169,0.51,0.46,7,7,1,1,1,Deccan Chargers
2010,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Kings XI Punjab,bat,159,160,0.49,0.66,6,8,0,0,1,Chennai Super Kings
2010,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,173,167,0.56,0.46,9,6,0,1,1,Chennai Super Kings
2010,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,182,164,0.58,0.61,4,3,1,0,1,Mumbai Indians
2010,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,bat,152,167,0.47,0.67,3,9,0,1,1,Mumbai Indians
2010,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Mumbai Indians,field,172,146,0.63,0.47,8,2,1,0,1,Mumbai Indians
2010,Delhi Daredevils,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bat,150,166,0.45,0.65,5,4,1,0,1,Chennai Super Kings
2010,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,bat,164,153,0.41,0.39,3,9,1,0,1,Deccan Chargers
2010,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,153,175,0.48,0.65,6,10,0,1,1,Chennai Super Kings
2010,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi Stadium, Hyderabad",Mumbai Indians,field,150,189,0.37,0.66,2,9,1,0,1,Mumbai Indians
2010,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Kings XI Punjab,bat,160,162,0.62,0.51,11,6,0,1,1,Chennai Super Kings
2010,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,bat,144,170,0.48,0.49,5,7,1,0,1,Rajasthan Royals
2010,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians,field,169,178,0.61,0.63,3,5,1,0,1,Mumbai Indians
2010,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bat,173,170,0.51,0.52,7,5,1,1,1,Kolkata Knight Riders
2010,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi Stadium, Hyderabad",Kolkata Knight Riders,bat,157,175,0.44,0.6,2,6,1,0,1,Kolkata Knight Riders
2010,Kings XI Punjab,Mumbai Indians,"IS Bindra Stadium, Mohali",Mumbai Indians,bat,168,175,0.44,0.56,1,8,1,1,1,Mumbai Indians
2010,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Chennai Super Kings,field,165,160,0.5,0.67,6,12,1,1,1,Kings XI Punjab
2010,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers,field,182,165,0.65,0.5,10,2,0,1,1,Mumbai Indians
